32,72
42,76
41,12
51,37
78,25
76,41
60,83
47,25
52,40
61,34
45,37
52,25
63,31
37,51
68,73
45,21
24,16
10,65
70,48
60,48
43,79
84,69
66,32
43,16
26,84
16,52
19,31
39,55
60,69
62,55
20,47
64,18
72,43
28,80
21,56
13,77
61,46
62,76
45,50
46,82
87,10
76,39
31,26
30,70
12,27
36,56
20,58
75,52
45,51
79,12
49,30
20,42
89,24
62,19
61,66
53,31
60,39
52,37
56,41
34,27
21,71
35,19
14,52
44,79
62,45
33,61
43,41
34,29
61,38
54,45
49,63
46,47
11,64
19,34
25,20
81,42
70,60
29,73
81,54
33,83
58,74
57,74
57,32
22,22
52,21
73,84
61,40
45,62
